txt_file : ./assets/book_EN_grimms_fairy_tails.txt
seq_length : 30
lstm_num_hidden : 128
lstm_num_layers : 2
batch_size : 64
learning_rate : 0.002
learning_rate_decay : 0.96
learning_rate_step : 5000
dropout_keep_prob : 1.0
train_steps : 1000000.0
max_norm : 5.0
device : cuda:0
summary_path : ./summaries/
print_every : 500
sample_every : 100
Initialize dataset with 550595 characters, 91 unique.
[2020-11-22 13:33] Train Step 0499/1000000, Batch Size = 64,                         Examples/Sec = 1734.01, Accuracy = 0.48, Loss = 0.850
[2020-11-22 13:34] Train Step 0999/1000000, Batch Size = 64,                         Examples/Sec = 1756.32, Accuracy = 0.53, Loss = 0.749
[2020-11-22 13:34] Train Step 1499/1000000, Batch Size = 64,                         Examples/Sec = 1651.74, Accuracy = 0.54, Loss = 0.705
[2020-11-22 13:34] Train Step 1999/1000000, Batch Size = 64,                         Examples/Sec = 1717.17, Accuracy = 0.56, Loss = 0.690
[2020-11-22 13:35] Train Step 2499/1000000, Batch Size = 64,                         Examples/Sec = 1724.60, Accuracy = 0.57, Loss = 0.660
[2020-11-22 13:35] Train Step 2999/1000000, Batch Size = 64,                         Examples/Sec = 1707.59, Accuracy = 0.58, Loss = 0.639
[2020-11-22 13:35] Train Step 3499/1000000, Batch Size = 64,                         Examples/Sec = 1734.62, Accuracy = 0.56, Loss = 0.679
[2020-11-22 13:36] Train Step 3999/1000000, Batch Size = 64,                         Examples/Sec = 1738.26, Accuracy = 0.59, Loss = 0.621
[2020-11-22 13:36] Train Step 4499/1000000, Batch Size = 64,                         Examples/Sec = 1743.60, Accuracy = 0.60, Loss = 0.624
[2020-11-22 13:36] Train Step 4999/1000000, Batch Size = 64,                         Examples/Sec = 1732.23, Accuracy = 0.60, Loss = 0.616
[2020-11-22 13:37] Train Step 5499/1000000, Batch Size = 64,                         Examples/Sec = 1743.44, Accuracy = 0.61, Loss = 0.586
[2020-11-22 13:37] Train Step 5999/1000000, Batch Size = 64,                         Examples/Sec = 1715.02, Accuracy = 0.60, Loss = 0.605
[2020-11-22 13:37] Train Step 6499/1000000, Batch Size = 64,                         Examples/Sec = 1723.07, Accuracy = 0.62, Loss = 0.571
[2020-11-22 13:38] Train Step 6999/1000000, Batch Size = 64,                         Examples/Sec = 1738.82, Accuracy = 0.60, Loss = 0.596
[2020-11-22 13:38] Train Step 7499/1000000, Batch Size = 64,                         Examples/Sec = 1748.01, Accuracy = 0.61, Loss = 0.565
[2020-11-22 13:38] Train Step 7999/1000000, Batch Size = 64,                         Examples/Sec = 1661.80, Accuracy = 0.60, Loss = 0.589
[2020-11-22 13:39] Train Step 8499/1000000, Batch Size = 64,                         Examples/Sec = 1733.88, Accuracy = 0.62, Loss = 0.572
[2020-11-22 13:39] Train Step 0499/1000000, Batch Size = 64,                         Examples/Sec = 1735.10, Accuracy = 0.63, Loss = 0.557
[2020-11-22 13:39] Train Step 0999/1000000, Batch Size = 64,                         Examples/Sec = 1704.95, Accuracy = 0.62, Loss = 0.570
[2020-11-22 13:40] Train Step 1499/1000000, Batch Size = 64,                         Examples/Sec = 1711.08, Accuracy = 0.62, Loss = 0.585
[2020-11-22 13:40] Train Step 1999/1000000, Batch Size = 64,                         Examples/Sec = 1710.59, Accuracy = 0.63, Loss = 0.563
[2020-11-22 13:40] Train Step 2499/1000000, Batch Size = 64,                         Examples/Sec = 1733.84, Accuracy = 0.64, Loss = 0.552
[2020-11-22 13:41] Train Step 2999/1000000, Batch Size = 64,                         Examples/Sec = 1737.42, Accuracy = 0.64, Loss = 0.540
[2020-11-22 13:41] Train Step 3499/1000000, Batch Size = 64,                         Examples/Sec = 1673.86, Accuracy = 0.62, Loss = 0.566
[2020-11-22 13:41] Train Step 3999/1000000, Batch Size = 64,                         Examples/Sec = 1715.78, Accuracy = 0.63, Loss = 0.556
[2020-11-22 13:42] Train Step 4499/1000000, Batch Size = 64,                         Examples/Sec = 1660.02, Accuracy = 0.63, Loss = 0.541
[2020-11-22 13:42] Train Step 4999/1000000, Batch Size = 64,                         Examples/Sec = 1725.27, Accuracy = 0.64, Loss = 0.548
[2020-11-22 13:42] Train Step 5499/1000000, Batch Size = 64,                         Examples/Sec = 1725.77, Accuracy = 0.62, Loss = 0.578
