Wall time,Step,Loss,Acc,Book
1606485704,1000,1.624679446,0.521406233,Karamazov-50
1606485730,2000,1.458073378,0.5625,Karamazov-50
1606485756,3000,1.424159408,0.575625002,Karamazov-50
1606485783,4000,1.365342617,0.58765626,Karamazov-50
1606485809,5000,1.373079181,0.581406236,Karamazov-50
1606485836,6000,1.378607035,0.58203125,Karamazov-50
1606485862,7000,1.331998348,0.592656255,Karamazov-50
1606485889,8000,1.358934283,0.58375001,Karamazov-50
1606485915,9000,1.321124554,0.592968762,Karamazov-50
1606485942,10000,1.259350538,0.616249979,Karamazov-50
1606485968,11000,1.241731882,0.619531274,Karamazov-50
1606485995,12000,1.237287641,0.617812514,Karamazov-50
1606486021,13000,1.201555729,0.626093745,Karamazov-50
1606486048,14000,1.201435447,0.628437519,Karamazov-50
1606486075,15000,1.198918343,0.630156279,Karamazov-50
1606486101,16000,1.188567281,0.631562471,Karamazov-50
1606486128,17000,1.209469438,0.628281236,Karamazov-50
1606486154,18000,1.198785186,0.62890625,Karamazov-50
1606486181,19000,1.191387892,0.634374976,Karamazov-50
1606486207,20000,1.197828174,0.63062501,Karamazov-50
1606486234,21000,1.180347919,0.635937512,Karamazov-50
1606486260,22000,1.148789287,0.641093731,Karamazov-50
1606486287,23000,1.125306487,0.647812486,Karamazov-50
1606486314,24000,1.093534946,0.652656257,Karamazov-50
1606486340,25000,1.129172325,0.652656257,Karamazov-50
1606428879,1000,1.601426601,0.524999976,Karamazov-30
1606428895,2000,1.413327813,0.5703125,Karamazov-30
1606428912,3000,1.42345953,0.567187488,Karamazov-30
1606428929,4000,1.360198259,0.591666639,Karamazov-30
1606428945,5000,1.3857342,0.572916687,Karamazov-30
1606428962,6000,1.412327051,0.567708313,Karamazov-30
1606428979,7000,1.370576978,0.571874976,Karamazov-30
1606428995,8000,1.38042593,0.576562524,Karamazov-30
1606429012,9000,1.365730762,0.583854139,Karamazov-30
1606429029,10000,1.397499323,0.565104187,Karamazov-30
1606429045,11000,1.311517239,0.598958313,Karamazov-30
1606429062,12000,1.314813256,0.594791651,Karamazov-30
1606429079,13000,1.247507691,0.6171875,Karamazov-30
1606429096,14000,1.211146474,0.626041651,Karamazov-30
1606429112,15000,1.27130115,0.613541663,Karamazov-30
1606429129,16000,1.242744803,0.618229151,Karamazov-30
1606429146,17000,1.306806684,0.597916663,Karamazov-30
1606429162,18000,1.272114635,0.596875012,Karamazov-30
1606429179,19000,1.248889923,0.620312512,Karamazov-30
1606429195,20000,1.266551733,0.609895825,Karamazov-30
1606429212,21000,1.279961348,0.600000024,Karamazov-30
1606429228,22000,1.237208009,0.633854151,Karamazov-30
1606429244,23000,1.247782826,0.626562476,Karamazov-30
1606429261,24000,1.245204926,0.621354163,Karamazov-30
1606429277,25000,1.222452283,0.603124976,Karamazov-30
1606512061,1000,1.439083576,0.578125,Stranger-30
1606512079,2000,1.257268429,0.61328125,Stranger-30
1606512098,3000,1.220534682,0.631250024,Stranger-30
1606512117,4000,1.126266122,0.654687524,Stranger-30
1606512136,5000,1.172504902,0.646093726,Stranger-30
1606512155,6000,1.095734835,0.672656238,Stranger-30
1606512174,7000,1.125978112,0.660937488,Stranger-30
1606512192,8000,1.076215863,0.665885389,Stranger-30
1606512211,9000,1.00340426,0.678385437,Stranger-30
1606512230,10000,0.912344098,0.726302087,Stranger-30
1606512249,11000,0.803529084,0.745052099,Stranger-30
1606512268,12000,0.739418626,0.775781274,Stranger-30
1606512286,13000,0.691819012,0.79296875,Stranger-30
1606512305,14000,0.65645504,0.804166675,Stranger-30
1606512323,15000,0.641703248,0.811458349,Stranger-30
1606512342,16000,0.644596875,0.809374988,Stranger-30
1606512361,17000,0.650183678,0.804427087,Stranger-30
1606512379,18000,0.637630522,0.801822901,Stranger-30
1606512398,19000,0.633755028,0.805989563,Stranger-30
1606512416,20000,0.619239628,0.8125,Stranger-30
1606512435,21000,0.550905466,0.835156262,Stranger-30
1606512453,22000,0.515143454,0.848958313,Stranger-30
1606512471,23000,0.488864481,0.851822913,Stranger-30
1606512490,24000,0.484041333,0.859375,Stranger-30
1606512508,25000,0.466776997,0.861718774,Stranger-30
